wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C
serial: dc:a6:32:89:f2:d0,2023-08-11 02:24,Normal,117.96,123.54,123.28,0.08,0.00,0.00,15.71,-0.01,1.00,0.01,0.00,0.00,-69.50,0.00,0.15,-0.02,0.00,0.00,149.51,0.20,1.36,0.04,0.00,0.00,0.55,1.94,1.74,100.00,400.00,227.74,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:25,Normal,118.18,123.73,123.47,0.07,0.00,0.00,14.39,0.01,0.98,0.01,0.00,0.00,-60.94,0.00,0.30,-0.02,0.00,0.00,138.83,0.23,1.32,0.04,0.00,0.00,0.50,1.79,1.78,100.00,400.00,225.13,1.94,1.91,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:26,Normal,118.25,123.78,123.54,0.08,0.00,0.00,13.20,-0.01,0.97,0.01,0.00,0.00,-82.63,0.00,0.15,-0.02,0.00,0.00,150.89,0.21,1.34,0.04,0.00,0.00,0.45,1.92,1.60,100.00,400.00,229.79,1.95,0.00,1.60
serial: dc:a6:32:89:f2:d0,2023-08-11 02:27,Normal,117.96,123.49,123.23,0.07,0.00,0.00,8.51,-0.00,1.00,0.00,0.00,0.00,-124.09,0.00,0.00,-0.03,0.00,0.00,146.04,0.21,1.37,0.04,0.00,0.00,0.38,1.33,1.50,100.00,400.00,238.18,1.99,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:28,Normal,118.32,123.88,123.56,0.07,0.00,0.00,12.18,0.00,0.97,0.00,0.00,0.00,-101.96,0.00,0.00,-0.03,0.00,0.00,145.07,0.21,1.36,0.04,0.00,0.00,0.41,1.42,1.70,100.00,400.00,234.38,1.97,0.00,1.61
serial: dc:a6:32:89:f2:d0,2023-08-11 02:29,Normal,118.39,123.97,123.68,0.07,0.00,0.00,12.58,-0.02,1.00,0.00,0.00,0.00,-97.23,0.00,0.15,-0.03,0.00,0.00,148.63,0.21,1.37,0.04,0.00,0.00,0.40,1.56,1.60,100.00,400.00,231.32,1.97,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:30,Normal,118.25,123.80,123.52,0.07,0.00,0.00,13.89,-0.02,0.98,0.01,-0.00,0.00,-63.45,-0.15,0.30,-0.02,-0.00,0.00,132.81,0.21,1.36,0.04,0.00,0.00,0.40,1.59,1.28,100.00,400.00,235.44,1.94,0.09,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 02:31,Normal,118.10,123.64,123.37,0.07,0.00,0.00,14.23,-0.00,0.98,0.01,0.00,0.00,-64.92,0.00,0.15,-0.02,0.00,0.00,145.76,0.23,1.36,0.04,0.00,0.00,0.33,1.73,1.56,100.00,400.00,233.35,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:32,Normal,118.34,123.90,123.59,0.07,0.00,0.00,14.46,0.00,0.99,0.01,0.00,0.00,-83.36,0.00,0.15,-0.02,0.00,0.00,145.75,0.22,1.38,0.04,0.00,0.00,0.42,1.71,1.64,100.00,400.00,232.63,1.95,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:33,Normal,118.44,124.02,123.66,0.07,0.00,0.00,13.72,0.00,0.99,0.00,0.00,0.00,-99.30,0.00,0.00,-0.03,0.00,0.00,145.75,0.21,1.38,0.04,0.00,0.00,0.42,1.57,1.44,100.00,400.00,236.96,1.96,0.00,0.41
